Date,Evento,Lugar,Modalidad
6/11/2021,Fashion Show Boda,Auditorio Pabellon M,Presencial
7/11/2021,Fashion Show Boda,Auditorio Pabellon M,Presencial
8/6/2021,Fabtech México,Cintermex,Presencial
8/11/2021,Congreso y Exposición  de la industria del Acero CONAC,Cintermex,Presencial
9/6/2021,Fabtech México,Cintermex,Presencial
9/11/2021,Congreso y Exposición  de la industria del Acero CONAC,Cintermex,Presencial
10/6/2021,Fabtech México,Cintermex,Presencial
10/11/2021,Congreso y Exposición  de la industria del Acero CONAC,Cintermex,Presencial
12/10/2021,Expo ARLAM por Publitur,Auditorio Pabellon M,Presencial
5/3/2022,Fabtech México,Cintermex,Presencial
5/4/2022,Fabtech México,Cintermex,Presencial
5/5/2022,Fabtech México,Cintermex,Presencial
5/14/2022,Expo Tatuaje Monterrey,Cintermex,Presencial
5/15/2022,Expo Tatuaje Monterrey,Cintermex,Presencial
5/24/2022,Expo Panificación Monterrey,Cintermex,Presencial
5/25/2022,Expo Panificación Monterrey,Cintermex,Presencial
5/25/2022,Constructo,Cintermex,Presencial
5/26/2022,Constructo,Cintermex,Presencial
5/27/2022,Constructo,Cintermex,Presencial
5/25/2022,Ferreshow,Cintermex,Presencial
5/26/2022,Ferreshow,Cintermex,Presencial
5/27/2022,Ferreshow,Cintermex,Presencial
6/3/2022,Expo Tlaqueparte Monterrey,Cintermex,Presencial
6/4/2022,Expo Tlaqueparte Monterrey,Cintermex,Presencial
6/5/2022,Expo Tlaqueparte Monterrey,Cintermex,Presencial
6/6/2022,Expo Tlaqueparte Monterrey,Cintermex,Presencial
6/3/2022,GFNY Monterrey Expo,Cintermex,Presencial
6/4/2022,GFNY Monterrey Expo,Cintermex,Presencial
7/25/2022,Surface Finishing México,Cintermex,Presencial
7/26/2022,Surface Finishing México,Cintermex,Presencial
7/27/2022,Surface Finishing México,Cintermex,Presencial
2/15/2022,H2 Expo Hidrógeno,Cintermex,Presencial
2/16/2022,H2 Expo Hidrógeno,Cintermex,Presencial
3/25/2022,Expo Tu Casa,Cintermex,Presencial
3/26/2022,Expo Tu Casa,Cintermex,Presencial
3/27/2022,Expo Tu Casa,Cintermex,Presencial
9/15/2021,Congreso Internacional de la Federación Mexicana de Asociasiones y Colegios de Endoscopía Ginecológica,Hotel Camino Real,Híbrido
9/16/2021,Congreso Internacional de la Federación Mexicana de Asociasiones y Colegios de Endoscopía Ginecológica,Hotel Camino Real,Híbrido
9/17/2021,Congreso Internacional de la Federación Mexicana de Asociasiones y Colegios de Endoscopía Ginecológica,Hotel Camino Real,Híbrido
9/18/2021,Congreso Internacional de la Federación Mexicana de Asociasiones y Colegios de Endoscopía Ginecológica,Hotel Camino Real,Híbrido
9/21/2021,Cumbre Mundial de Comunicación Politica,Auditorio Pabellon M,Híbrido
9/22/2021,Cumbre Mundial de Comunicación Politica,Auditorio Pabellon M,Híbrido
9/23/2021,Cumbre Mundial de Comunicación Politica,Auditorio Pabellon M,Híbrido
10/17/2021,Expo Quinceañera,Cintermex,Presencial
10/20/2021,Congreso Mexicano de Ortopedia,Cintermex,Presencial
10/21/2021,Congreso Mexicano de Ortopedia,Cintermex,Presencial
10/22/2021,Congreso Mexicano de Ortopedia,Cintermex,Presencial
10/23/2021,Gran Festival Medieval Mty,Cintermex,Presencial
10/23/2021,Expo Graduación,Cintermex,Presencial
10/24/2021,Expo Graduación,Cintermex,Presencial
10/23/2021,Congreso Mexicano de Ortopedia,Cintermex,Presencial
10/24/2021,Gran Festival Medieval Mty,Cintermex,Presencial
10/29/2021,Expo Tu Casa,Cintermex,Presencial
10/30/2021,Expo Tu Casa,Cintermex,Presencial
10/31/2021,Expo Tu Casa,Cintermex,Presencial
11/17/2021,Congreso Méxicano del Petróleo CMP,Cintermex,Presencial
11/18/2021,Congreso Méxicano del Petróleo CMP,Cintermex,Presencial
11/19/2021,Congreso Méxicano del Petróleo CMP,Cintermex,Presencial
11/20/2021,Congreso Méxicano del Petróleo CMP,Cintermex,Presencial
11/24/2021,Expo Eléctrica y Solar Norte,Cintermex,Presencial
11/25/2021,Expo Eléctrica y Solar Norte,Cintermex,Presencial
11/26/2021,Expo Eléctrica y Solar Norte,Cintermex,Presencial
11/26/2021,Expo Franquicia-T,Cintermex,Híbrido
11/27/2021,Expo Franquicia-T,Cintermex,Híbrido
4/13/2021,Expo Manufactura Inteligente,Cintermex,Presencial
4/14/2021,Expo Manufactura Inteligente,Cintermex,Presencial
4/15/2021,Expo Manufactura Inteligente,Cintermex,Presencial
6/10/2022,Festival de Viajes y Aventuras,Cintermex,Presencial
6/11/2022,Festival de Viajes y Aventuras,Cintermex,Presencial
6/12/2022,Festival de Viajes y Aventuras,Cintermex,Presencial
6/4/2022,Fan party Wizards Edition,Cintermex,Presencial
6/5/2022,Fan party Wizards Edition,Cintermex,Presencial
7/2/2022,Animex,Cintermex,Presencial
7/3/2022,Animex,Cintermex,Presencial
8/20/2022,Ah!Con,Cintermex,Presencial
8/21/2022,Ah!Con,Cintermex,Presencial
8/24/2022,Expo Poliplast,Cintermex,Presencial
8/25/2022,Expo Poliplast,Cintermex,Presencial
8/26/2022,Expo Poliplast,Cintermex,Presencial
7/3/2022,Expo Quinceañera,Cintermex,Presencial
7/16/2022,Expo tu princesa,Cintermex,Presencial
7/17/2022,Expo tu princesa,Cintermex,Presencial
7/12/2022,Congreso Nacional e Internacional de la Asociación Mexicana de Veterinarios Especialistas en Cerdos,Cintermex,Presencial
7/13/2022,Congreso Nacional e Internacional de la Asociación Mexicana de Veterinarios Especialistas en Cerdos,Cintermex,Presencial
7/14/2022,Congreso Nacional e Internacional de la Asociación Mexicana de Veterinarios Especialistas en Cerdos,Cintermex,Presencial
7/15/2022,Congreso Nacional e Internacional de la Asociación Mexicana de Veterinarios Especialistas en Cerdos,Cintermex,Presencial
5/15/2022,Expo Belleza Monterrey,Cintermex,Presencial
5/16/2022,Expo Belleza Monterrey,Cintermex,Presencial
6/21/2022,Congreso Mundial de Enfermedades Respiratorias,Cintermex,Presencial
6/22/2022,Congreso Mundial de Enfermedades Respiratorias,Cintermex,Presencial
6/23/2022,Congreso Mundial de Enfermedades Respiratorias,Cintermex,Presencial
6/24/2022,Congreso Mundial de Enfermedades Respiratorias,Cintermex,Presencial
6/25/2022,Congreso Mundial de Enfermedades Respiratorias,Cintermex,Presencial
6/1/2022,Congreso Nacional del Colegio Mexicano de Inmunología Clínica y Alergia ,Auditorio Pabellon M,Híbrido
6/2/2022,Congreso Nacional del Colegio Mexicano de Inmunología Clínica y Alergia ,Auditorio Pabellon M,Híbrido
6/3/2022,Congreso Nacional del Colegio Mexicano de Inmunología Clínica y Alergia ,Auditorio Pabellon M,Híbrido
6/4/2022,Congreso Nacional del Colegio Mexicano de Inmunología Clínica y Alergia ,Auditorio Pabellon M,Híbrido
5/24/2022,Expo Limpieza,Cintermex,Híbrido
5/25/2022,Expo Limpieza,Cintermex,Híbrido
5/24/2022,Expo Abarrotes Norte,Cintermex,Presencial
5/25/2022,Expo Abarrotes Norte,Cintermex,Presencial
5/18/2022,Expo Proveedores del Transporte y Logística ,Cintermex,Presencial
5/19/2022,Expo Proveedores del Transporte y Logística ,Cintermex,Presencial
5/20/2022,Expo Proveedores del Transporte y Logística ,Cintermex,Presencial
5/5/2022,Expo ARLAM por Publitur,Auditorio Pabellon M,Presencial
5/24/2022,Expo Proveedores del Restaurante,Cintermex,Presencial
5/25/2022,Expo Proveedores del Restaurante,Cintermex,Presencial
2/15/2022,Expo Manufactura ,Cintermex,Presencial
2/16/2022,Expo Manufactura ,Cintermex,Presencial
2/17/2022,Expo Manufactura ,Cintermex,Presencial
3/16/2022,Expo Empaque Norte,Cintermex,Presencial
3/17/2022,Expo Empaque Norte,Cintermex,Presencial
3/18/2022,Expo Empaque Norte,Cintermex,Presencial
2/27/2022,Expo Quinceañera,Cintermex,Presencial
3/12/2022,Expo Graduación,Cintermex,Presencial
3/13/2022,Expo Graduación,Cintermex,Presencial
3/19/2022,Fashion Show Boda,Auditorio Pabellon M,Presencial
3/20/2022,Fashion Show Boda,Auditorio Pabellon M,Presencial
3/26/2022,Expo tu Boda,Cintermex,Presencial
3/27/2022,Expo tu Boda,Cintermex,Presencial
3/9/2022,Simposium Internacional AMCAOF,Cintermex,Presencial
3/10/2022,Simposium Internacional AMCAOF,Cintermex,Presencial
3/11/2022,Simposium Internacional AMCAOF,Cintermex,Presencial
3/12/2022,Simposium Internacional AMCAOF,Cintermex,Presencial
9/21/2021,AHR Expo México,Cintermex,Presencial
9/22/2021,AHR Expo México,Cintermex,Presencial
9/23/2021,AHR Expo México,Cintermex,Presencial
10/30/2021,Expo Planetas Mascotas,Cintermex,Presencial
10/31/2021,Expo Planetas Mascotas,Cintermex,Presencial
10/23/2021,Expo tu Boda,Cintermex,Presencial
10/24/2021,Expo tu Boda,Cintermex,Presencial
11/7/2021,Ebio Norte,Cintermex,Presencial
11/8/2021,Ebio Norte,Cintermex,Presencial
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
