,date,venue_code,found,rooms_available,rooms_occupied,room_revenue,state,hotelSearchesMX,is_holiday,hocc,hotelSearches,dayofweek,day,month,venue_encode,occ,Evento,Lugar,Modalidad
0,2019-02-01,MTYCP,True,219,114,147635.93,Nuevo Leon,0.79,0,0.0,0.0,4,1,2,19,0.520547945,,,
1,2019-02-02,MTYCP,True,219,34,60438.32,Nuevo Leon,0.98,0,0.0,0.6,5,2,2,19,0.155251142,,,
2,2019-02-03,MTYCP,True,219,48,81186.37,Nuevo Leon,1.0,0,0.0,0.55,6,3,2,19,0.219178082,,,
3,2019-02-04,MTYCP,True,219,126,240749.09,Nuevo Leon,0.96,1,0.0,0.0,0,4,2,19,0.575342466,,,
4,2019-02-05,MTYCP,True,219,180,369532.41,Nuevo Leon,0.86,1,0.0,0.31,1,5,2,19,0.821917808,,,
5,2019-02-06,MTYCP,True,219,205,418051.7,Nuevo Leon,0.72,0,0.0,0.0,2,6,2,19,0.936073059,,,
6,2019-02-07,MTYCP,True,219,205,411124.27,Nuevo Leon,0.78,0,0.0,0.0,3,7,2,19,0.936073059,,,
7,2019-02-08,MTYCP,True,219,57,105203.73,Nuevo Leon,0.82,0,0.0,0.24,4,8,2,19,0.260273973,,,
8,2019-02-09,MTYCP,True,219,57,87354.97,Nuevo Leon,0.75,0,0.0,0.24,5,9,2,19,0.260273973,,,
9,2019-02-10,MTYCP,True,219,76,138149.31,Nuevo Leon,0.82,0,0.0,0.72,6,10,2,19,0.347031963,,,
10,2019-02-11,MTYCP,True,219,166,333449.64,Nuevo Leon,0.79,0,0.0,1.0,0,11,2,19,0.757990868,,,
11,2019-02-12,MTYCP,True,219,204,427036.18,Nuevo Leon,0.79,0,0.0,0.3,1,12,2,19,0.931506849,,,
12,2019-02-13,MTYCP,True,219,200,407616.96,Nuevo Leon,0.74,0,0.0,0.0,2,13,2,19,0.913242009,,,
13,2019-02-14,MTYCP,True,219,158,315248.55,Nuevo Leon,0.8,0,0.0,0.25,3,14,2,19,0.721461187,,,
14,2019-02-15,MTYCP,True,219,77,130355.8,Nuevo Leon,0.76,0,0.0,0.47,4,15,2,19,0.351598174,,,
15,2019-02-16,MTYCP,True,219,59,101904.5,Nuevo Leon,0.79,0,0.0,0.47,5,16,2,19,0.269406393,,,
16,2019-02-17,MTYCP,True,219,82,144588.86,Nuevo Leon,0.79,0,0.0,0.69,6,17,2,19,0.374429224,,,
17,2019-02-18,MTYCP,True,219,159,331978.58,Nuevo Leon,0.79,0,0.0,0.49,0,18,2,19,0.726027397,,,
18,2019-02-19,MTYCP,True,219,203,410572.2,Nuevo Leon,0.84,0,0.0,0.0,1,19,2,19,0.926940639,,,
19,2019-02-20,MTYCP,True,219,204,414680.47,Nuevo Leon,0.75,0,0.0,0.0,2,20,2,19,0.931506849,,,
