date,venue_code,found,rooms_available,rooms_occupied,room_revenue,state,hotelSearchesMX,is_holiday,hocc,hotelSearches,dayofweek,day,month,venue_encode,occ
2/1/2019,BJXCR,True,155,49,77980.96,Guanajuato,0.79,0,0,0.87,4,1,2,0,0.316129032
2/2/2019,BJXCR,True,155,135,241804.51,Guanajuato,0.98,0,0,0.95,5,2,2,0,0.870967742
2/3/2019,BJXCR,True,155,102,178099.06,Guanajuato,1,0,0,1,6,3,2,0,0.658064516
2/4/2019,BJXCR,True,155,36,51425.74,Guanajuato,0.96,1,0,0.61,0,4,2,0,0.232258065
2/5/2019,BJXCR,True,155,40,54927.35,Guanajuato,0.86,1,0,0.59,1,5,2,0,0.258064516
2/6/2019,BJXCR,True,155,52,75075.15,Guanajuato,0.72,0,0,0.24,2,6,2,0,0.335483871
2/7/2019,BJXCR,True,155,24,31133.81,Guanajuato,0.78,0,0,0.32,3,7,2,0,0.15483871
2/8/2019,BJXCR,True,155,57,90467.41,Guanajuato,0.82,0,0,0.53,4,8,2,0,0.367741935
2/9/2019,BJXCR,True,155,40,58203.14,Guanajuato,0.75,0,0,0.41,5,9,2,0,0.258064516
2/10/2019,BJXCR,True,155,25,34168.3,Guanajuato,0.82,0,0,0.7,6,10,2,0,0.161290323
2/11/2019,BJXCR,True,155,35,49364.36,Guanajuato,0.79,0,0,0.49,0,11,2,0,0.225806452
2/12/2019,BJXCR,True,155,34,50334.62,Guanajuato,0.79,0,0,0.72,1,12,2,0,0.219354839
2/13/2019,BJXCR,True,155,20,23732.49,Guanajuato,0.74,0,0,0.52,2,13,2,0,0.129032258
2/14/2019,BJXCR,True,155,42,65205.15,Guanajuato,0.8,0,0,0.36,3,14,2,0,0.270967742
2/15/2019,BJXCR,True,155,66,99103.22,Guanajuato,0.76,0,0,0.34,4,15,2,0,0.425806452
2/16/2019,BJXCR,True,155,97,156999.79,Guanajuato,0.79,0,0,0.51,5,16,2,0,0.625806452
2/17/2019,BJXCR,True,155,31,41347.25,Guanajuato,0.79,0,0,0.28,6,17,2,0,0.2
2/18/2019,BJXCR,True,155,48,63821.82,Guanajuato,0.79,0,0,0.42,0,18,2,0,0.309677419
2/19/2019,BJXCR,True,155,69,90303.48,Guanajuato,0.84,0,0,0.43,1,19,2,0,0.44516129
2/20/2019,BJXCR,True,155,110,137771.44,Guanajuato,0.75,0,0,0.36,2,20,2,0,0.709677419
2/21/2019,BJXCR,True,155,96,129958.34,Guanajuato,0.73,0,0,0.69,3,21,2,0,0.619354839
2/22/2019,BJXCR,True,155,113,163398.19,Guanajuato,0.77,0,0,0.17,4,22,2,0,0.729032258
2/23/2019,BJXCR,True,155,141,215508,Guanajuato,0.8,0,0,0.28,5,23,2,0,0.909677419
2/24/2019,BJXCR,True,155,101,129186.81,Guanajuato,0.78,0,0,0.57,6,24,2,0,0.651612903
2/25/2019,BJXCR,True,155,115,141415.56,Guanajuato,0.82,0,0,0.18,0,25,2,0,0.741935484
2/26/2019,BJXCR,True,155,118,149386.45,Guanajuato,0.82,0,0,0.57,1,26,2,0,0.761290323
2/27/2019,BJXCR,True,155,107,131866.01,Guanajuato,0.79,0,0,0.22,2,27,2,0,0.690322581
2/28/2019,BJXCR,True,155,93,115626.84,Guanajuato,0.82,0,0,0.47,3,28,2,0,0.6
3/1/2019,BJXCR,True,155,121,192798.97,Guanajuato,0.78,0,0,0.39,4,1,3,0,0.780645161
3/2/2019,BJXCR,True,155,144,236526.13,Guanajuato,0.76,0,0,0.39,5,2,3,0,0.929032258
3/3/2019,BJXCR,True,155,46,66446.38,Guanajuato,0.81,0,0,0.67,6,3,3,0,0.296774194
3/4/2019,BJXCR,True,155,46,58561.46,Guanajuato,0.85,0,0,0.4,0,4,3,0,0.296774194
3/5/2019,BJXCR,True,155,70,92632.4,Guanajuato,1,0,0,1,1,5,3,0,0.451612903
3/6/2019,BJXCR,True,155,92,127060.29,Guanajuato,0.96,0,0,0.59,2,6,3,0,0.593548387
3/7/2019,BJXCR,True,155,94,140867.82,Guanajuato,0.79,0,0,0.46,3,7,3,0,0.606451613
3/8/2019,BJXCR,True,155,101,173965.19,Guanajuato,0.8,0,0,0.33,4,8,3,0,0.651612903
3/9/2019,BJXCR,True,155,133,223817.97,Guanajuato,0.8,0,0,0.55,5,9,3,0,0.858064516
3/10/2019,BJXCR,True,155,60,87565.94,Guanajuato,0.83,0,0,0.37,6,10,3,0,0.387096774
3/11/2019,BJXCR,True,155,61,82785.99,Guanajuato,0.84,0,0,0.38,0,11,3,0,0.393548387
3/12/2019,BJXCR,True,155,67,85917.64,Guanajuato,0.87,0,0,0.46,1,12,3,0,0.432258065
