Date,Evento,Lugar,Modalidad
8/20/2022,Ah!Con,Cintermex,Presencial
8/21/2022,Ah!Con,Cintermex,Presencial
9/21/2021,AHR Expo México,Cintermex,Presencial
9/22/2021,AHR Expo México,Cintermex,Presencial
9/23/2021,AHR Expo México,Cintermex,Presencial
07/02/2022,Animex,Cintermex,Presencial
07/03/2022,Animex,Cintermex,Presencial
09/02/2022,Biciexpo,Cintermex,Presencial
09/03/2022,Biciexpo,Cintermex,Presencial
09/04/2022,Biciexpo,Cintermex,Presencial
09/05/2022,Congreso de Bodas LAT,Hotel Camino Real,Presencial
09/06/2022,Congreso de Bodas LAT,Hotel Camino Real,Presencial
09/07/2022,Congreso de Bodas LAT,Hotel Camino Real,Presencial
09/08/2022,Congreso de Bodas LAT,Hotel Camino Real,Presencial
09/07/2022,Congreso Internacional de Invetigación Financiera-FIMEF,Instalaciones de la Universidad Autónoma de Nuevo León,Híbrido
09/08/2022,Congreso Internacional de Invetigación Financiera-FIMEF,Instalaciones de la Universidad Autónoma de Nuevo León,Híbrido
9/15/2021,Congreso Internacional de la Federación Mexicana de Asociasiones y Colegios de Endoscopía Ginecológica,Hotel Camino Real,Híbrido
9/16/2021,Congreso Internacional de la Federación Mexicana de Asociasiones y Colegios de Endoscopía Ginecológica,Hotel Camino Real,Híbrido
9/17/2021,Congreso Internacional de la Federación Mexicana de Asociasiones y Colegios de Endoscopía Ginecológica,Hotel Camino Real,Híbrido
9/18/2021,Congreso Internacional de la Federación Mexicana de Asociasiones y Colegios de Endoscopía Ginecológica,Hotel Camino Real,Híbrido
9/28/2022,Congreso Internacional de Logística y Cadena de Suministro-CiLOG,Instalaciones de la Universidad Autónoma de Nuevo León,Híbrido
9/29/2022,Congreso Internacional de Logística y Cadena de Suministro-CiLOG,Instalaciones de la Universidad Autónoma de Nuevo León,Híbrido
11/16/2022,Congreso Latinoamericano de Odontopediatría ALOP,Hotel Camino Real,Híbrido
11/17/2022,Congreso Latinoamericano de Odontopediatría ALOP,Hotel Camino Real,Híbrido
11/18/2022,Congreso Latinoamericano de Odontopediatría ALOP,Hotel Camino Real,Híbrido
10/20/2021,Congreso Mexicano de Ortopedia,Cintermex,Presencial
10/21/2021,Congreso Mexicano de Ortopedia,Cintermex,Presencial
10/22/2021,Congreso Mexicano de Ortopedia,Cintermex,Presencial
10/23/2021,Congreso Mexicano de Ortopedia,Cintermex,Presencial
11/17/2021,Congreso Méxicano del Petróleo CMP,Cintermex,Presencial
11/18/2021,Congreso Méxicano del Petróleo CMP,Cintermex,Presencial
11/19/2021,Congreso Méxicano del Petróleo CMP,Cintermex,Presencial
11/20/2021,Congreso Méxicano del Petróleo CMP,Cintermex,Presencial
6/21/2022,Congreso Mundial de Enfermedades Respiratorias,Cintermex,Presencial
6/22/2022,Congreso Mundial de Enfermedades Respiratorias,Cintermex,Presencial
6/23/2022,Congreso Mundial de Enfermedades Respiratorias,Cintermex,Presencial
6/24/2022,Congreso Mundial de Enfermedades Respiratorias,Cintermex,Presencial
6/25/2022,Congreso Mundial de Enfermedades Respiratorias,Cintermex,Presencial
11/14/2022,Congreso Mundial de Parques Urbanos,Cintermex,Presencial
11/15/2022,Congreso Mundial de Parques Urbanos,Cintermex,Presencial
